bin,count,avg_confidence,empirical_accuracy
"[0.0,0.1)",0,0.0,0.0
"[0.1,0.2)",0,0.0,0.0
"[0.2,0.3)",3,0.27017046229063163,0.0
"[0.3,0.4)",1,0.3146816450442504,1.0
"[0.4,0.5)",212,0.43223478008247046,0.9433962264150944
"[0.5,0.6)",9,0.5628822229774804,0.2222222222222222
"[0.6,0.7)",18,0.6607085123793882,0.16666666666666666
"[0.7,0.8)",1,0.778008796358837,1.0
"[0.8,0.9)",4,0.8787618092601022,1.0
"[0.9,1.0]",5304,0.9976813086738264,0.7290723981900452
